"aasta";"koht";"vastanuid";"lugu";"lugu_toodeldud";"artist";"track";"lugu_url";"lugu_url_2";"sonad";"keel"
"1999";39;35;"2 Quick Start - Sõnad viid mu suult (35)";"2 Quick Start - Sõnad viid mu suult";"2 Quick Start";"Sõnad viid mu suult";"2_quick_start-sonad_viid_mu_suult";"http://sasslantis.ee/lyrics-2_quick_start-sonad_viid_mu_suult";"Sa elad nii, päev korraga 
põled, kui ma hõõgun vaid 
kuid ometi koos sinuga 
eluvärvi näha sain 
aeg on käes see on piir 
kui nüüd lahkume nii, 
siis ei tundma saa sind eal 

REF: Sõnad viid mu suult 
ja ma vaid püüan tuult 
et leida veel neid 
sõnad viid mu suult 
olla külm ja nii kuum 
sa korraga võid 

Ma olen siin, sa teisel pool 
jooksed, kui ma seisan veel 
sul annaks kõik, kuid võtad pool 
olen öö ja sina päev 
kui kord näen taevast veel 
sinu silmades 
selle leida vaid ma võin 


Ref (2 korda) 


Iga päev elad ajas, mis möödub 
kõigel on oma hind 
Kas sa tead, millal kõik uueks pöördus 
Lõpmatus algas sest hetkest, kui puutusin sind 


Ref (2 korda)
            
            ";"eesti"
"1999";40;34;"Push Up - Seksikas mänguasi (34)";"Push Up - Seksikas mänguasi";"Push Up";"Seksikas mänguasi";"push_up-seksikas_manguasi";"http://sasslantis.ee/lyrics-push_up-seksikas_manguasi";"Sind ma olen oodanud nii kaua, enam ma ei oota, täna vajan sind 
Ahaa 
Tule minu juurde, vii mind taevasse, tee mida iganes ihkab sinu hing 
Mmm 

Su mänguasi olen ma 
Las ma mängin, las ma mängin 
Täna sulle end annan 
Su mänguasi olen ma 
Seksikas mänguasi 
Täna sind vaid tahan 

Suudle mind, kallis, mängi minuga, sinust keegi parem olla ei saa 
Ma tean 
Puuduta mind veel, meil terve öö on ees, sinust ma küllalt iial ei saa 
Mmm 

Su mänguasi olen ma 
Las ma mängin, las ma mängin 
Su mänguasi olen ma, 
Seksikas mänguasi 

            
            ";"eesti"
"2000";1;2097;"Ines - Once In a Lifetime (2097)";"Ines - Once In a Lifetime";"Ines";"Once In a Lifetime";"ines-once_in_a_lifetime";"http://sasslantis.ee/lyrics-ines-once_in_a_lifetime";"I don't wish, I could turn back time.
I can move the mountains higher than high.
Don't look back, hold on your spirit.
Keep moving every minute.

I know it seems a little premature.
To live for the moment, I'm just a girl.
Don't look back, hold on your spirit.
Keep moving every minute.

What you give is what you get.
There ain't no regrets.

If you give me wings and reason why.
Then I'll be an angel in your sky.
Because I'm seventeen only once in a lifetime.
Read my mind.

I'm ready why you standing still.
Are you coming with me, I know you will.
We can search the world together.
Come on baby now or never.

What you give is what you get.
There ain't no regrets.

If you give me wings and reason why.
Then I'll be an angel in your sky.
Because I'm seventeen only once in a lifetime.
Read my mind.

If you give me wings and reason why.
Then I'll be an angel in your sky.
Because I'm seventeen only once in a lifetime.
Read my mind.

I believe there's a better place always somewhere else instead.
I believe grass is greener if i chase the magic no one else can find.
( The magic no one else can find ) .

If you give me wings and reason why.
Then I'll be an angel in your sky.
Because I'm seventeen only once in a lifetime.
Read my mind.

If you give me wings and reason why.
Then I'll be an angel in your sky.
Because I'm seventeen only once in a lifetime.
Read my mind.

Because I'm seventeen only once in a lifetime.
            
            ";"inglise"
"2000";2;2002;"Terminaator - See Ei Ole Saladus (2002)";"Terminaator - See Ei Ole Saladus";"Terminaator";"See Ei Ole Saladus";"terminaator-see_ei_ole_saladus";"http://sasslantis.ee/lyrics-terminaator-see_ei_ole_saladus";"Langes tähti tol öösel kui me istusime 
vana lagunenud maja kivitrepile 
minu lõhkised teksad sinu jääkülmad käed 
see on muinasjutt tüdruk küll sa ükskord seda näed 

Tahtsin öelda nii palju siiski vaikisin vaid 
sõnu vaja ei olnud minust aru sa said 
vana lagunenud maja tuulest kolksatas uks 
sellest hetkest mu süda jäigi sulle avatuks 

See ei ole saladus et olime siin 
taskunoaga meie nimed seina lõikasin 
vana maja juurde viis meid rohtunud tee 
see oli koht kus lõpuks üksteist leidsime 

Sinu silmis tol öösel oli kutse ja soov 
sinu jaoks see öö vist oli nagu julguseproov 
juuksed langesid näole silmad sulgesid sa 
seda hetke ma luban et ei iial unusta 

See ei ole saladus et olime siin 
taskunoaga meie nimed seina lõikasin 
vana maja juurde viis meid rohtunud tee 
see oli koht kus lõpuks üksteist leidsime 

Kui hommik saabub minema sa pead 
mind leiad siit sa tead
            
            ";"eesti"
"2000";3;960;"Caater - Dance With You (960)";"Caater - Dance With You";"Caater";"Dance With You";"caater-dance_with_you";"http://sasslantis.ee/lyrics-caater-dance_with_you";NA;NA
"2000";4;569;"Smilers - Sinu Süles (569)";"Smilers - Sinu Süles";"Smilers";"Sinu Süles";"smilers-sinu_sules";"http://sasslantis.ee/lyrics-smilers-sinu_sules";"see polnud just alul kõige ilusam päev
olin läbi ja väsinud tööst
olin näinud palju mida paljud ei näe
olin magamata paar ööd

sa tulid ja tõid mulle tassi teed
ja küsisid kas segad sa mind
ma rääkisin nagu polnud rääkinud veel
ja sa jaksasid kuulata mind

ma ei tea mis juhtus ja milleks
nüüd ei mõtle millestki muust
olen segamini õnnest
see on kui unes


PÄIKESETÕUSUGA KOOS SINU SÜLES
VÕIKSINGI  JÄÄDA ÄRKAMA ÜLES
TAHAKSIN OLLA KUI VIIRUS SU VERES
LANGEDA PÕRMU JASMIINIDE MERES

(JA SA LUBAD KÕIKE NING ROHKEMGI VEEL)

ma rääkisin rõõmudest ja muredest
ja sellest mida ihkab mu hing
ma rääkisin sulle oma unedest
ja sa jaksasid kuulata mind

nüüd ma tean mis on mulle hea
enam miski ei kõiguta mind
hommikuti kui sa magad veel
võin lõputult vaadata sind
kui esimesed valguskiired piinamas on meid
siis ma tean jah ma tean
kõik algab taas
            
            ";"eesti"
"2000";5;565;"Terminaator - 6 Jalga Niisket Maad (565)";"Terminaator - 6 Jalga Niisket Maad";"Terminaator";"6 Jalga Niisket Maad";"terminaator-6_jalga_niisket_maad";"http://sasslantis.ee/lyrics-terminaator-6_jalga_niisket_maad";"Püha isa sinu juurde tulin ma
Et saaks andeks mõned patud
Ma ei ole elus harjund pihtima
Kuid loodan et mind pole päris unustatud 
Uuu- su kirikus kord oli hea ja soe
Kuid praegu see ei loe

Kogu elun olen ainult põgenend
Teinud 100 surmapattu
Sellepeale sa vaid risti ette lööd
Ja sosistad et oled täitsa uskumattu

Uuu- su kirikust ei rahu leia ma
Pean jälle minema

Ma olen maanteeröövel
Püüda tuult ei väljal saa
Maanteeröövel olen ma
Olen sündind tapja
Ainus mille lõpuks saan
On 6 jalga niisket maad

Püha isa ära vaata sedasi
Nagu mind sa kardaksid
Sinu saatus määratud sai juba siis
Kui siia ilma sa sündisid

Uuu- su kirikus vaid ulub jäine tuul
Ka sinu jaoks on rauas kuul
            
            ";"eesti"
"2000";6;479;"Caater - Phantom (479)";"Caater - Phantom";"Caater";"Phantom";"caater-phantom";"http://sasslantis.ee/lyrics-caater-phantom";NA;NA
"2000";7;466;"Claire's Birthday - Venus (466)";"Claire's Birthday - Venus";"Claire's Birthday";"Venus";"claires_birthday-venus";"http://sasslantis.ee/lyrics-claires_birthday-venus";NA;NA
"2000";8;447;"N-Euro - Vesi peale (447)";"N-Euro - Vesi peale";"N-Euro";"Vesi peale";"n-euro-vesi_peale";"http://sasslantis.ee/lyrics-n-euro-vesi_peale";"Ref.:
Vesi peale, vesi peale, tõmba endal vesi peale
nii halvale kui heale, aga ikka vesi peale.
Vesi peale, vesi peale tõmba endal vesi peale
ja kanalisatsioonis taas kokku sulame.
Vesi peale, vesi peale, tõmba endal vesi peale
nii halvale kui heale, aga ikka vesi peale.
Vesi peale, vesi peale tõmba endal vesi peale
siis kanalisatsioonis taas kokku sulame.

Kui su naabrimees ei ole koolis käind,
kui minister mäel on jälle lolliks läind,
kui on raha vähe ja kõik viltu veab,
kui on pahad päevad ja kui valutab pea.
Kui sa ise kah ei ole koolis käind,
oma elukaaslast pole aastaid näind,
kui su ainsal kammil murtud viimne pii,
viska nurka kõik ja laula nii:

'Üks, kaks, kolm!!'

Ref.:
Vesi peale, vesi peale, tõmba endal vesi peale
nii halvale kui heale, aga ikka vesi peale.
Vesi peale, vesi peale tõmba endal vesi peale
ja kanalisatsioonis taas kokku sulame.
Vesi peale, vesi peale, tõmba endal vesi peale
nii halvale kui heale, aga ikka vesi peale.
Vesi peale, vesi peale tõmba endal vesi peale
siis kanalisatsioonis taas kokku sulame.

Kui on järel sinust ainult teine pool,
kui ei mõttelõnga väike aju koo,
suitsupääsuke on jälle põhja läind,
ja su onu Rootsist pole külas käind.
Kui ka postimees ei too sul teateid häid,
hümni sõnad peas, kuid rahvustunne läind,
Balti ketti taga nutab kärnas koon.
Laula kaasa, sind aitab sõber kanalisatsioon.

Ref.:
Vesi peale, vesi peale, tõmba endal vesi peale
nii halvale kui heale, aga ikka vesi peale.
Vesi peale, vesi peale tõmba endal vesi peale
ja kanalisatsioonis taas kokku sulame.
Vesi peale, vesi peale, tõmba endal vesi peale
nii halvale kui heale, aga ikka vesi peale.
Vesi peale, vesi peale tõmba endal vesi peale
siis kanalisatsioonis taas kokku sulame.

Ref.:
Vesi peale, vesi peale, tõmba endal vesi peale
nii halvale kui heale, aga ikka vesi peale.
Vesi peale, vesi peale tõmba endal vesi peale
ja kanalisatsioonis taas kokku sulame.
Vesi peale, vesi peale, tõmba endal vesi peale
nii halvale kui heale, aga ikka vesi peale.
Vesi peale, vesi peale tõmba endal vesi peale
siis kanalisatsioonis taas kokku sulame.
            
            ";"eesti"
"2000";9;373;"Push Up - Teeme Süsti (373)";"Push Up - Teeme Süsti";"Push Up";"Teeme Süsti";"push_up-teeme_susti";"http://sasslantis.ee/lyrics-push_up-teeme_susti";NA;NA
"2000";10;303;"The Tuberkuloited - Tantsin Valssi (303)";"The Tuberkuloited - Tantsin Valssi";"The Tuberkuloited";"Tantsin Valssi";"the_tuberkuloited-tantsin_valssi";"http://sasslantis.ee/lyrics-the_tuberkuloited-tantsin_valssi";"Siis, kui sind nägin esimest korda
koputas saatus siis õlale mul
tundsin, et oledki see keda ootan
tundsin, et olen su järele hull

Veidi ehk kartsin kui nägin sind jälle
ometi kutsusin tantsima sind
naeratus huultel sa tulid, ma tundsin
miski su sees oli oodanud mind

Chorus:
Sa tantsid valssi, seda valssi
ühtainust valssi minuga
Ma tantsin valssi, jah ainult valssi 
sa tantsid valssi minuga 

Päeval ja öösel nüüd igatsen sinna
kus laupäevaõhtuti tuledes saal
ootan veel valssi, et tantsima minna
ja et siis saata sind koju võiks taas

Küsivalt uksel sa seisatad korraks
naeratad vaid kui ma ütlen head ööd
kerge ja hea on mul tee läbi minna
kusagil kaugel veel süda ent lööb

Chorus

Nanananana....

Chorus

Nanananana....
            
            ";"eesti"
"2000";11;300;"Meie Mees - Moskva (300)";"Meie Mees - Moskva";"Meie Mees";"Moskva";"meie_mees-moskva";"http://sasslantis.ee/lyrics-meie_mees-moskva";"Moskva - jäine ja tuuline
õhtu kui hiline
käib üle maa
moskva - külm on su kange viin
viisnurga kuum rubiin
lööb hõõguma
Tovariz dai-dai-dai-dai viinuzkit veel
see on kui lõikav kasaka mõõk
natasa hoi-hoi-hoi-hoi voodisse veab
eh harazoo saab meil olema seal
R: moskva moskva
kremli müürid punased
esmaspäevad sinised oh-oh-oh-ohoo
moskva moskva
sinu hing on suur ja lai
saatan tihti külas käib ah-ah-ah-ahaa
moskva moskva
kaaviar ja valge viin
hapukurk ja hingepiin oh-oh-oh-ohoo
moskva moskva
kuldsed kuplid kõrguses
liisund õlu nina ees ah-ah-ah-ahaa
Moskva -sünge ja särav see
eilsesse värav see
punane kuld
moskva - kes sinu südant teab
armastab sind või neab
kõigest saab muld
Tovariz dai-dai-dai-dai viinuzkit veel 
R:moskva moskva
kremli müürid punased 
Laua peale lao tavaar
pane käima samovar oh-oh-oh-ohoo
moskva moskva
vodkat veel üks klaasitäis
terve ilm on maani täis ah-ah-ah-ahaa.
            
            ";"eesti"
"2000";12;290;"Bhava - Motherly Ganges (290)";"Bhava - Motherly Ganges";"Bhava";"Motherly Ganges";"bhava-motherly_ganges";"http://sasslantis.ee/lyrics-bhava-motherly_ganges";NA;NA
"2000";13;261;"Vennaskond - 101.Kilomeeter (261)";"Vennaskond - 101.Kilomeeter";"Vennaskond";"101.Kilomeeter";"vennaskond-101_kilomeeter";"http://sasslantis.ee/lyrics-vennaskond-101_kilomeeter";"Käisid tüdrukud õhtuti Toomases, 
jõid kokteili ja ungari brändit, 
kavalerideks, rikkad kui roomlased, 
SRT-de habetund dändid. 

Restoranidki nendelt tooni said, 
olid plikad kui moemodellid. 
Numbritubade Miss Estoniaiks 
öiti krooniti neid hotellis. 

Kohtupingis nüüd tüdrukud istuvad. 
Nende emad on häbist tummad. 
Aga tüdrukuil muiged ristuvad 
poiste pilguga rahvasummas. 

Kohtuotsus on lõplik ja lühike: 
et ei kannataks rahva moraalsus, 
saata sedamaid, nõnda et mühiseb, 
välja Tallinnast see amoraalsus. 

Nii nad punase triibuga autodes 
kohtu lõppedes minema veeti 
ning läks saabunud tööjõu jaotuseks 
101. kilomeetril. 

101 kilomeetrit Tallinnast  
kohtuotsus ei ole just lapsik 
Aga viinad pagasnikus, kallimad 
igal laupäeval saabuvad taksis. 

Ja need tüdrukud, ruuzhitud kreemikaks, 
üle pakkuda püüdes Pariisi, 
BBC saatel neile serveerivad 
uut,  la kolhoos strip-teasei. 

Suu lahti, kolhoosi noor tallimees 
läbi akna neid piilub õuest. 
Süda takti lööb plikade trallile,  
pudel Pealinna pääsmena põues
            
            ";"eesti"
"2000";14;259;"N-Euro - Olümpiale (259)";"N-Euro - Olümpiale";"N-Euro";"Olümpiale";"n-euro-olumpiale";"http://sasslantis.ee/lyrics-n-euro-olumpiale";NA;NA
"2000";15;256;"Blind - Mary Jane (256)";"Blind - Mary Jane";"Blind";"Mary Jane";"blind-mary_jane";"http://sasslantis.ee/lyrics-blind-mary_jane";NA;NA
"2000";16;246;"Jüri Homenja - Klaver (246)";"Jüri Homenja - Klaver";"Jüri Homenja";"Klaver";"juri_homenja-klaver";"http://sasslantis.ee/lyrics-juri_homenja-klaver";"Päevinäinud tiibklaver uhkelt üksinda keset kõrbe, 
sirge rühiga seisjad seal täiskuu paiste all 
Jutu järgi ta jättis kord sinna kunagi ammu mees, kes kirjutas naisele laulu keda ta armastas 

Lõgismadudel koduks on saanud koht keelte kõrval 
Klaver liivas ja kuumuses väärikalt pudeneb koost 
Jutu järgi sai kuulsaks see laul,mida teab igaüks meist 
Kõigil teadagi ilusaid viise päästab valla vaid arm 

Aga armul on võime 
Ta, kui tahab, siis võib kõike muuta 
Päiksepaistest saab vari ja tinaks võib muutuda kuld 
Mõlemad neist olnut hoiavad meis see laul rambivalgusest säravaim õis 
Ja kulunud klaver kõrbetuulte sees 

Sellest väsinud vaevatud pillist käivad müüdid 
Klahve puudutades võlub muusika, algav päev 
On ta haud või hoopis sa ta püha laegas 
Sõltub,mida sa ise sealt otsides näed 

Aga armul on võime 
Ta, kui tahab, siis võib kõike muuta 
Päiksepaistest saab vari 
ja tinaks võib muutuda kuld 
Mõlemad neist olnut hoiavad meis 
see laul rambivalgusest säravaim õis 
Ja kulunud klaver kõrbetuulte sees 
Ja kulunud klaver kõrbetuulte sees Ja kulunud klaver kõrbetuulte sees 
Klaver... kõrbetuulte sees... 
Klaver... kõrbetuulte sees... 
Klaver... kõrbetuulte sees... 
Klaver...  
            
            ";"eesti"
"2000";17;234;"No Big Silence - On The Hunt (234)";"No Big Silence - On The Hunt";"No Big Silence";"On The Hunt";"no_big_silence-on_the_hunt";"http://sasslantis.ee/lyrics-no_big_silence-on_the_hunt";"One by one we move the ground
Everyone's turned into a hound
Cuz hey everyone has to pay
One by one we make the stakes
Everyone's been greedy too afraid to fate
And why when the target is sky
Hey innocent angel
Innocent angel
Innocent angel
Innocent angel
We're on the hunt 
You might run but we're right behind
You might fly but not too high
We'd rather die then let you to hide
You are so precious we know your price 
Be afraid of us we are cold as ice
That's why you should stay in the sky
Hey innocent angel
Innocent angel
Innocent angel
Innocent angel
We're on the hunt 
You are so precious we know your price
Be afraid of us we are cold as ice
It's allright we will get you tonight
Hey innocent angel 
Innocent angel
Innocent angel
Innocent angel
We're on the hunt 
Hey innocent angel
I don't regret my sins
Hey innocent angel
I'm gonna cut your wings 

            
            ";"inglise"
"2000";18;225;"Ines - That's All Because Of You (225)";"Ines - That's All Because Of You";"Ines";"That's All Because Of You";"ines-thats_all_because_of_you";"http://sasslantis.ee/lyrics-ines-thats_all_because_of_you";NA;NA
"2000";19;209;"Push Up - Musi (209)";"Push Up - Musi";"Push Up";"Musi";"push_up-musi";"http://sasslantis.ee/lyrics-push_up-musi";NA;NA
"2000";20;202;"Anaconda - Veel Veel Veel (202)";"Anaconda - Veel Veel Veel";"Anaconda";"Veel Veel Veel";"anaconda-veel_veel_veel";"http://sasslantis.ee/lyrics-anaconda-veel_veel_veel";"Chorus:
Veel veel veel veel mind tean sa vajad
veel veel veel meeled segi ajama pean
veel veel veel veel mind tean sa vajad
veel veel veel veel sa näed ma olen nii hea

Tulen su tuppa ma salaja, 
kauaks ma jääda ei saa
mõtted mu peas on nii kavalad 
ja seda loodadki sa

Unistus suur on meil jagada,
see pole seiklus vaid luus
enam sa nüüd ei saa magada
jagab ta kedagi muud

Chorus

Sinule võin ennast avada
mida vaid soovida saad
nüüd pole aeg teda avada
paluda taevast või maad

Aga kui soovid sa magada
kardad, mis homme on ees
unistust suurt võib siis jagada
meest teise muinasloo sees


Veel veel veel veel mind tean sa vajad
veel veel veel veel sind segi ajan
veel veel veel veel mind tean sa vajad
veel veel veel veel sind segi ajan

Chorus
            
            ";"eesti"
"2000";21;189;"Blind - Voyage Voyage (189)";"Blind - Voyage Voyage";"Blind";"Voyage Voyage";"blind-voyage_voyage";"http://sasslantis.ee/lyrics-blind-voyage_voyage";"Au dessus des vieux volcans 
Glissant des ailes sous les tapis du vent 
Voyage Voyage, eternellement 
De nuages en marecages 
De vent d`espangne en pluie d`equateur 
Voyage Voyage, vol dans les hauteurs 
Au d`ssus des capitales 
Des idees fatales 
Regarde l`ocean 

Voyage voyage 
Plus loin que nuit et le jour 
Voyage 
Dans l`espace inoui de l`amour 
Voyage voyage 
Sur l`eau sacree d`un fleuve indien 
Voyage 
Et jamais ne reviens 

Sur le Gange ou l`Amazone 
Chez les blacks chez les sikhs chez les jaunes 
Voyage Voyage, dans tout le royaume 
Sur les dunes du Sahara 
Des iles Fiji au Fujihama 
Voyage Voyage, ne t`arretes pas 
Au d`ssus des barbeles 
Des coeirs bombardes 
Regarde l`ocean 

Au d`ssus des capitales 
Des idees fatales 
Regarde l`ocean
            
            ";"inglise"
"2000";22;124;"Dagö - Šveits (124)";"Dagö - Šveits";"Dagö";"Šveits";"dago-šveits";"http://sasslantis.ee/lyrics-dago-šveits";NA;NA
"2000";23;123;"Jam - Veel Üks Kord (123)";"Jam - Veel Üks Kord";"Jam";"Veel Üks Kord";"jam-veel_uks_kord";"http://sasslantis.ee/lyrics-jam-veel_uks_kord";"On kõik kadund mu ümbert, ma tean, 
et vaid ime võib olla nüüd see,
millele loota saan veel.
See öö, mis iial ei korduda saa 
jääb veel kauaks mind piinama,
sest tean, et minema jälle sa pead.

Chorus:
Ootan sind ma veel üks kord
kuhu küll tormad sa, veel üks kord
luba, sind suudlen ma veel üks kord
siis minna võid oma teed.
Ootan, kallis, veel üks kord
sind lähedal hoian ma veel üks kord
luba, sind suudlen ma veel üks kord
siis minna võid oma teed.

On kõik kadund mu ümbert, ma tean
et nüüd võib meie ühine tee,
vaid unelmaks jääda mu sees.
Siiski usun ma, et öö, mis iial ei korduda saa,
peab meil siiski korduma taas,
miks nüüd minema jälle sa pead?

Chorus (2x)
            
            ";"eesti"
"2000";24;121;"Manatark - Meelepett (121)";"Manatark - Meelepett";"Manatark";"Meelepett";"manatark-meelepett";"http://sasslantis.ee/lyrics-manatark-meelepett";"Võta talt elulootus
Ja näe - loor silmilt langeb
Murdub ka kangeim 
Meelepett
Karjatab elusid ühte

Kingi mul vereootus
Ja näe - taganen kõigest
Väärast ja õigest

Meelepett
Mureneb paindliku pilgu all

(Te silmis...)

Koolnukangestuses
Raiub ta kui rauda
Hällist tõustes targu
Varisedes hauda
Koltunud kontideks
Hing saada ihkab
Saatus vaevu teda 
Mäletada tihkab

Andestust vennad
Nüüd hävingu hakulgi
Puhkaksin hinge
Kesköises kumas
Viivu vaid viibiks veel

(Kuid mõista!)

Pimedaid ma pigem
Juhatajaks hoolin
Sõnavaeseid
Teele seletajaks soovin
Kurtidel kõrvadel
Ülistust laulan
Kehvikust teen valdja
Oma riigi troonil

Andestust vennad
Aeg tõusta on lahkujail
Parimad sõbrad las magada
Kui ilmamaa isandad
Süütame leinava taeva
            
            ";"eesti"
"2000";25;119;"Ecthalion - Laurelin (119)";"Ecthalion - Laurelin";"Ecthalion";"Laurelin";"ecthalion-laurelin";"http://sasslantis.ee/lyrics-ecthalion-laurelin";"As my mind drifts off in deceitful slumber
I cannot shake the vision of your eyes
Emerald green inside a ghostly pale
I still hold dear this remembrance of you
To no end...

Where could you wander on this very night?
I pass your shadow with every step
Spectral hands caress this tortured soul
I feel you move inside my bleeding heart
Until I die...

Painful imagery reflects upon the sky
I swore to set you free and so I did
My paradise appeared to be your hell
I whispered your name to hear the reply:
""Let me go...""

Memories fade only to surface now
I offered you my small and fragile world You taught me the real meaning of love -
It's pain...

Emerald green inside ghostly pale
I do not know the blade now in my hands
Your luminent eyes eternally set upon me
I take this final step with thee
My Laurelin....

            
            ";"inglise"
"2000";26;112;"Hanna-Liina Võsa ja Ivo Linna - Kui On Meri Hülgehall (112)";"Hanna-Liina Võsa ja Ivo Linna - Kui On Meri Hülgehall";"Hanna-Liina Võsa ja Ivo Linna";"Kui On Meri Hülgehall";"hanna-liina_vosa_ja_ivo_linna-kui_on_meri_hulgehall";"http://sasslantis.ee/lyrics-hanna-liina_vosa_ja_ivo_linna-kui_on_meri_hulgehall";NA;NA
"2000";27;108;"Kadi Toom - Leides (108)";"Kadi Toom - Leides";"Kadi Toom";"Leides";"kadi_toom-leides";"http://sasslantis.ee/lyrics-kadi_toom-leides";"Ma üksi olles iseendaga, 
vaid oma unistustest jõudu saan.
Kui kaua veel võib kesta see? 
Ei karda saatust , siht on kindel ees, 
ei pelga raskusi ja ohte veel,
ei heida meelt, ei pöördu teelt. 

Ma õnne ootan,
mis õrn ja muutumatu.
Loodan,
ta teistest puutumatu - 
ootus see, 
on mind veel hoidnud teel.

Mul oli sõber hea , kes kaotas tee 
olles nii lähedale õnnele. 
Ta silmist siis 
jäi meelde piin
Nii pelgan sellest hetkest kaotada,
ei julge oma hinges paotada,
neid kaugeid teid, ma varjan neid.

Ma õnne

Kui tunned - õnn pagemas käest , 
sa suutmata põhjust leida, miks.
Ei aidata siis mingid väed, 
ei aidata saa võõrad käed.
            
            ";"eesti"
"2000";28;102;"Kalm - Üksinduse Kuningas (102)";"Kalm - Üksinduse Kuningas";"Kalm";"Üksinduse Kuningas";"kalm-uksinduse_kuningas";"http://sasslantis.ee/lyrics-kalm-uksinduse_kuningas";"Minust kui minnakse, toimub see salaja
Õhtune üksindus pisaraiks saab
Roostesed lukud ei kinni teid pea
Võrkudest järel vaid tolm on maas

Uks kui on avatud, sisse te tulete
Milleks?, et lahkuda peagi?
Tühjaks jääb tuba, ukse kui sulete
Ise te ilmselt ei teagi
            
            ";"eesti"
"2000";29;95;"Maarja - Please Don't Cry (95)";"Maarja - Please Don't Cry";"Maarja";"Please Don't Cry";"maarja-please_dont_cry";"http://sasslantis.ee/lyrics-maarja-please_dont_cry";NA;NA
"2000";30;89;"Push Up - Dr.Noormann (89)";"Push Up - Dr.Noormann";"Push Up";"Dr.Noormann";"push_up-dr_noormann";"http://sasslantis.ee/lyrics-push_up-dr_noormann";"REFRÄÄN 

Margit: 
Kallis doktor Noormann haige on mu hing, palun ravi mind 
Kallis doktor Noormann haige on mu hing, ravi terveks mind 
Kallis doktor Noormann doktor Noormann doktor Noormann 
Dok-dok-do-dok-dok 
Doktor Noormann doktor Noormann doktor Noormann 
Dok-dok-do-dok-dok 

Marko: 
Palun võta seljast riided, et saaksin kindlaks teha 
Mis olukooras on sinu süda sinu keha 
Jah vaatame kõigepealt veidi pluusi alla 
Ei muidu oska öelda, mis viga võib sul olla 
Ahaa 
Margit: Palun luba mul, et ma tegutsen 
Marko: Ahaa 
Margit: ainult sinu kätesse end usaldan 
Marko: Ahaa, ainult head tulemust võid oodata 
Siin ju mina  dr. Noormann 

REFRÄÄN 

Marko: Et saaksin tungida su hinge, ei või sul olla pingeid 
Nüüd heida pikali, sind hellitan ma meelsasti 
Olen meisterravija, kõik su mured rahuldan 
Teen raviseansi täna öösel sinuga ma. 
Ahaa 
Margit: Palun luba mul, et ma tegutsen 
Marko: Ahaa 
Margit: ainult sinu kätesse end usaldan 
Marko: Ahaa, ainult head tulemust võid oodata 
Siin ju mina  dr. Noormann 

REFRÄÄN 
 

            
            ";"eesti"
"2000";31;87;"Super Slinky - The Outsider (87)";"Super Slinky - The Outsider";"Super Slinky";"The Outsider";"super_slinky-the_outsider";"http://sasslantis.ee/lyrics-super_slinky-the_outsider";"I've tried to fit my life to this
Life in a foreign place
Adopt their ways and customs oh so strange
I've tried to get rid of my past
Forget where I am from
Forget what I once had and what I've done

All that I once just left behind and pushed aside
All that was part of me, I shouldn't have let it die

I gotta find my way back home
I can't stand a day more alone
I hope it's not too late
I still wait
For the day that I'm back home

Tired of rigid fuck-off glares
They cut me just too deep
There's no love in them and there's no warmth
Tired of running against that wall
But walls are everywhere
There's no sympathy, there's no support

Their roads are all too even
All too straight and fine
Their grass is all too green and
Sun is much too bright

I gotta find my way back home
I can't stand a day more alone
I hope it's not too late
I still wait
For the day

I wanna be back in my village
Where I left my kin, my home
Back in the places
Where I once used to go
Back in my village
Where I left my friends, my love
That's where my mind takes me
When the silence comes

Repeat

I gotta find my way back home
I can't stand a day more alone
I hope it's not too late
I still wait
For the day that I'm back home

Repeat

I gotta find my way back home
I can't stand a day more alone
I hope it's not too late
That's where my mind takes me
When the silence comes
            
            ";"inglise"
"2000";32;86;"Black Rockit - Engelbert 2 (86)";"Black Rockit - Engelbert 2";"Black Rockit";"Engelbert 2";"black_rockit-engelbert_2";"http://sasslantis.ee/lyrics-black_rockit-engelbert_2";NA;NA
"2000";33;85;"Terminaator - Tee (85)";"Terminaator - Tee";"Terminaator";"Tee";"terminaator-tee";"http://sasslantis.ee/lyrics-terminaator-tee";"Ausalt öelda olen sinu pärast natukene mures
Igaks juhuks tahaks sellest sulle rääkida
Olen natukene liiga palju näind sind unes
Ja see kõik võib väga-väga kurvalt lõppeda 
Kord sai oodatud sind natukene liiga kaua
Siis kui saabusid saolid veidi liiga hea
Natukene liiga hea et olla tõsi 
Natukene liiga hea et sinult suudlust oodata

Ma olen pisut rooste läinud
kuid kord sellest üle saan 
Olen natukene tige 
veidi nukker olen ma 
Kuid see ei loe sest tean 
et tähtis pole see 
Tähtis pole sihtmärk 
tähtis on vaid tee

Arvan et sa tunned mind vist veidi liiga vähe
Minu üle kohut mõista sa ei saa 
Natukene pelgan kuid ma siiski lähen 
Kord me kohtume võib-olla seal kus lõppeb maa

Sind ma armastan vist natukene liiga palju 
Sama palju nagu taevas tähti on 
Hakkan minema sest kell on liiga palju 
Hakkan minema mis muud mul ikka teha on

Ma olen pisut rooste läinud
kuid kord sellest üle saan 
Olen natukene tige 
veidi nukker olen ma 
Kuid see ei loe sest tean 
et tähtis pole see 
Tähtis pole sihtmärk 
tähtis on vaid tee
            
            ";"eesti"
